generation	population_size	num_mutations	nucleotide_diversity	theta_watterson	beneficial_freq
220	10000	2	4.3e-05	0.000204	0.0
221	10000	2	4.1e-05	0.000204	0.0
222	10000	2	4.7e-05	0.000204	0.0
223	10000	2	5e-05	0.000204	0.0
224	10000	2	5.1e-05	0.000204	0.0
225	10000	2	5.3e-05	0.000204	0.0
226	10000	2	5.3e-05	0.000204	0.0
227	10000	3	4.5e-05	0.000307	0.0
228	10000	2	4.5e-05	0.000204	0.0
229	10000	2	4.5e-05	0.000204	0.0
230	10000	2	4.6e-05	0.000204	0.0
231	10000	2	4.4e-05	0.000204	0.0
232	10000	2	3.9e-05	0.000204	0.0
233	10000	2	3.8e-05	0.000204	0.0
234	10000	2	3.4e-05	0.000204	0.0
235	10000	2	3.9e-05	0.000204	0.0
236	10000	2	3.9e-05	0.000204	0.0
237	10000	2	3.8e-05	0.000204	0.0
238	10000	2	3.8e-05	0.000204	0.0
239	10000	3	3.8e-05	0.000307	0.0
240	10000	3	4.1e-05	0.000307	0.0
241	10000	3	4.4e-05	0.000307	0.0
242	10000	3	4.2e-05	0.000307	0.0
243	10000	3	4.5e-05	0.000307	0.0
244	10000	3	4.2e-05	0.000307	0.0
245	10000	2	4.2e-05	0.000204	0.0
246	10000	2	4.5e-05	0.000204	0.0
247	10000	2	4.6e-05	0.000204	0.0
248	10000	2	4.7e-05	0.000204	0.0
249	10000	3	4.5e-05	0.000307	0.0
250	10000	3	4.3e-05	0.000307	0.0
251	10000	2	4.4e-05	0.000204	0.0
252	10000	2	4.5e-05	0.000204	0.0
253	10000	2	4.6e-05	0.000204	0.0
254	10000	2	4.9e-05	0.000204	0.0
255	10000	2	4.9e-05	0.000204	0.0
256	10000	2	4.9e-05	0.000204	0.0
257	10000	2	4.9e-05	0.000204	0.0
258	10000	2	4.8e-05	0.000204	0.0
259	10000	2	4.5e-05	0.000204	0.0
260	10000	2	4.5e-05	0.000204	0.0
261	10000	2	4.3e-05	0.000204	0.0
262	10000	2	4e-05	0.000204	0.0
263	10000	2	4e-05	0.000204	0.0
264	10000	2	4.3e-05	0.000204	0.0
265	10000	2	4.5e-05	0.000204	0.0
266	10000	2	4.5e-05	0.000204	0.0
267	10000	2	4.3e-05	0.000204	0.0
268	10000	2	4.1e-05	0.000204	0.0
269	10000	2	3.9e-05	0.000204	0.0
270	10000	2	3.8e-05	0.000204	0.0
271	10000	2	4.1e-05	0.000204	0.0
272	10000	2	4e-05	0.000204	0.0
273	10000	2	4e-05	0.000204	0.0
274	10000	2	4.3e-05	0.000204	0.0
275	10000	2	4.6e-05	0.000204	0.0
276	10000	2	4.6e-05	0.000204	0.0
277	10000	3	4.8e-05	0.000307	0.0
278	10000	3	4.6e-05	0.000307	0.0
279	10000	3	4.7e-05	0.000307	0.0
280	10000	3	4.6e-05	0.000307	0.0
281	10000	3	4.3e-05	0.000307	0.0
282	10000	3	4e-05	0.000307	0.0
283	10000	3	3.7e-05	0.000307	0.0
284	10000	4	3.9e-05	0.000409	0.0
285	10000	3	4.2e-05	0.000307	0.0
286	10000	3	4.2e-05	0.000307	0.0
287	10000	3	3.8e-05	0.000307	0.0
288	10000	3	3.9e-05	0.000307	0.0
289	10000	3	3.3e-05	0.000307	0.0
290	10000	3	3.4e-05	0.000307	0.0
291	10000	3	3.2e-05	0.000307	0.0
292	10000	3	3.3e-05	0.000307	0.0
293	10000	3	3.3e-05	0.000307	0.0
294	10000	2	3.3e-05	0.000204	0.0
295	10000	2	3.6e-05	0.000204	0.0
296	10000	2	3.8e-05	0.000204	0.0
297	10000	2	3.5e-05	0.000204	0.0
